dataset,precision,recall,f1,roc_auc,pr_auc,false_negatives,false_positives,true_positives,true_negatives,train_validation_f1_gap,train_validation_pr_auc_gap,best_epoch,epochs_executed,best_val_loss,trainable_parameters,selected_threshold,calibration_method
train,0.12921890067502412,0.8481012658227848,0.22426778242677825,0.8546560464037511,0.21790063660555745,24,903,134,2126,0.010164452005456182,0.019981344950708885,23,33,0.46428796648979187,1185,0.5,none
validation,0.13733905579399142,0.8,0.23443223443223443,0.8275759577278732,0.23788198155626633,8,201,32,556,0.010164452005456182,0.019981344950708885,23,33,0.46428796648979187,1185,0.5,none
test,0.13815789473684212,0.84,0.23728813559322035,0.8353326293558606,0.16362913789539707,8,262,42,685,0.010164452005456182,0.019981344950708885,23,33,0.46428796648979187,1185,0.5,none
