dataset,precision,recall,f1,roc_auc,pr_auc,false_negatives,false_positives,true_positives,true_negatives
train,0.1299093655589124,0.8164556962025317,0.22415291051259775,0.83449858122537,0.18067602185003237,29,864,129,2165
test,0.13780918727915195,0.78,0.23423423423423423,0.8257233368532207,0.14595680381622658,11,244,39,703
