strategy,precision,recall,f1,roc_auc,pr_auc,false_negatives,false_positives,true_positives,true_negatives
baseline,0.0,0.0,0.0,0.8428665785997358,0.23123388968569217,40,0,0,757
class_weight,0.15639810426540285,0.825,0.26294820717131473,0.8434280052840158,0.2289750863841375,7,178,33,579
random_oversampling,0.15714285714285714,0.825,0.264,0.8416446499339498,0.23321861745622507,7,177,33,580
smote,0.1625615763546798,0.825,0.2716049382716049,0.8400264200792602,0.20822209500840197,7,170,33,587
