epoch,loss,pr_auc,precision,recall,roc_auc,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
1,0.6758841276168823,0.06912199407815933,0.06545690447092056,0.6392405033111572,0.6267828941345215,0.6505445241928101,0.09661365300416946,0.08852458745241165,0.675000011920929,0.7320013046264648
2,0.6227220892906189,0.10739640146493912,0.09885621070861816,0.7658227682113647,0.7481716871261597,0.5989664196968079,0.11723638325929642,0.09963099658489227,0.675000011920929,0.7613276243209839
3,0.6017390489578247,0.11683445423841476,0.10231316834688187,0.7278481125831604,0.7547170519828796,0.5533456206321716,0.12906107306480408,0.10505836457014084,0.675000011920929,0.7757430672645569
4,0.5683209300041199,0.1436055600643158,0.10410959273576736,0.7215189933776855,0.7870887517929077,0.5190668106079102,0.13729903101921082,0.11811023950576782,0.75,0.7864101529121399
5,0.5506630539894104,0.13772830367088318,0.11820781975984573,0.7848101258277893,0.8013830184936523,0.5021287202835083,0.14253579080104828,0.11372549086809158,0.7250000238418579,0.7936921715736389
6,0.5381919741630554,0.14407312870025635,0.11870845407247543,0.7911392450332642,0.8037264347076416,0.48861631751060486,0.1486126035451889,0.11599999666213989,0.7250000238418579,0.799405574798584
7,0.5544537305831909,0.12246339023113251,0.11258278042078018,0.753164529800415,0.7876477241516113,0.48934388160705566,0.15265080332756042,0.11857707798480988,0.75,0.8044748902320862
8,0.5233994722366333,0.15638014674186707,0.1183098554611206,0.797468364238739,0.8123435974121094,0.4783124029636383,0.15702994167804718,0.12244898080825806,0.75,0.8099570870399475
9,0.5279772281646729,0.14000700414180756,0.11553030461072922,0.7721518874168396,0.8075574636459351,0.4803891181945801,0.16422516107559204,0.12244898080825806,0.75,0.8121697306632996
10,0.5125576853752136,0.15544725954532623,0.12190476059913635,0.8101266026496887,0.820725679397583,0.4746592342853546,0.17585399746894836,0.12916666269302368,0.7749999761581421,0.8146961331367493
11,0.5161788463592529,0.17711228132247925,0.11487758904695511,0.7721518874168396,0.8165925741195679,0.4712387025356293,0.18409845232963562,0.13247863948345184,0.7749999761581421,0.8170739412307739
12,0.5119726061820984,0.16262304782867432,0.11988582462072372,0.797468364238739,0.8192253112792969,0.48042425513267517,0.19967994093894958,0.13502109050750732,0.800000011920929,0.8184775114059448
13,0.5092114210128784,0.14633098244667053,0.11867525428533554,0.8164557218551636,0.8150097131729126,0.4663781225681305,0.20364096760749817,0.13362069427967072,0.7749999761581421,0.8203434348106384
14,0.5062065720558167,0.16981740295886993,0.12237093597650528,0.8101266026496887,0.8257237672805786,0.46949851512908936,0.2067892849445343,0.13793103396892548,0.800000011920929,0.8214497566223145
15,0.49946165084838867,0.17203563451766968,0.12285714596509933,0.8164557218551636,0.8281203508377075,0.4723703861236572,0.2186034619808197,0.1355932205915451,0.800000011920929,0.8232827186584473
16,0.5037557482719421,0.16473866999149323,0.12064090371131897,0.8101266026496887,0.8250027894973755,0.4801734983921051,0.21686971187591553,0.13278008997440338,0.800000011920929,0.8236129283905029
17,0.4954523742198944,0.1767374575138092,0.12617702782154083,0.8481012582778931,0.8334548473358154,0.47636285424232483,0.21656568348407745,0.13389120995998383,0.800000011920929,0.8250660300254822
18,0.5020649433135986,0.147822767496109,0.11929170787334442,0.8101266026496887,0.8226521015167236,0.4761297404766083,0.21276798844337463,0.13278008997440338,0.800000011920929,0.8243064880371094
19,0.47744718194007874,0.20121067762374878,0.1284230351448059,0.8607594966888428,0.8420323133468628,0.46650511026382446,0.2158350795507431,0.1367521435022354,0.800000011920929,0.825594425201416
20,0.4986467659473419,0.1676887720823288,0.12089972198009491,0.8164557218551636,0.8250477313995361,0.472093790769577,0.22093123197555542,0.13389120995998383,0.800000011920929,0.8264200687408447
21,0.49377062916755676,0.17651504278182983,0.12428842484951019,0.8291139006614685,0.832421600818634,0.4726475179195404,0.221177875995636,0.13502109050750732,0.800000011920929,0.8264861702919006
22,0.49170705676078796,0.195907860994339,0.12177121639251709,0.8354430198669434,0.8367980122566223,0.47375908493995667,0.22253988683223724,0.13333334028720856,0.800000011920929,0.8268163800239563
23,0.4916977882385254,0.15690483152866364,0.125,0.8354430198669434,0.8333430886268616,0.46428796648979187,0.22677108645439148,0.1373390555381775,0.800000011920929,0.8281043767929077
24,0.49380841851234436,0.16920706629753113,0.126522958278656,0.8544303774833679,0.8306548595428467,0.47163885831832886,0.22603364288806915,0.13445378839969635,0.800000011920929,0.8281704783439636
25,0.49887192249298096,0.16915157437324524,0.12218045443296432,0.8227847814559937,0.8300249576568604,0.4728447198867798,0.2248721569776535,0.13502109050750732,0.800000011920929,0.8289134502410889
26,0.5008493065834045,0.1615663766860962,0.12186046689748764,0.8291139006614685,0.830049991607666,0.47564369440078735,0.22672176361083984,0.13389120995998383,0.800000011920929,0.829491376876831
