model,precision,recall,f1,roc_auc,pr_auc,false_negatives,true_positives,train_f1,validation_f1,f1_gap
LogisticRegression,0.0,0.0,0.0,0.8428665785997358,0.23123388968569217,40,0,0.0,0.0,0.0
DecisionTree,0.18421052631578946,0.175,0.1794871794871795,0.5670244385733157,0.07364211186686917,33,7,1.0,0.1794871794871795,0.8205128205128205
RandomForest,0.0,0.0,0.0,0.7923051519154558,0.19405591331532385,40,0,1.0,0.0,1.0
GradientBoosting,0.0,0.0,0.0,0.8339332892998679,0.18073368590250477,40,0,0.328042328042328,0.0,0.328042328042328
SVM,0.0,0.0,0.0,0.6926684280052839,0.16425575961432903,40,0,0.025,0.0,0.025
