epoch,loss,pr_auc,precision,recall,roc_auc,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.727261483669281,0.40181100368499756,0.41428571939468384,0.5523809790611267,0.5304491519927979,0.8004006147384644,0.38776788115501404,0.37974682450294495,1.0,0.5394149422645569,0.0003000000142492354
2,0.6956007480621338,0.46281129121780396,0.442641943693161,0.6063492298126221,0.5763336420059204,0.9603944420814514,0.340970903635025,0.37974682450294495,1.0,0.47951021790504456,0.0003000000142492354
3,0.6956854462623596,0.4490119218826294,0.44823530316352844,0.6047618985176086,0.581493616104126,1.0369738340377808,0.38081592321395874,0.37974682450294495,1.0,0.5350340008735657,0.0003000000142492354
4,0.6822123527526855,0.5204499959945679,0.46242037415504456,0.5761904716491699,0.6127979159355164,0.9586296081542969,0.3928236961364746,0.37974682450294495,1.0,0.5559999942779541,0.0003000000142492354
5,0.6795846819877625,0.5115854740142822,0.4592074453830719,0.6253968477249146,0.6231712102890015,0.7469283938407898,0.3954286575317383,0.4065573811531067,0.8266666531562805,0.5670612454414368,0.0003000000142492354
6,0.6735700964927673,0.5219700336456299,0.4900744557380676,0.6269841194152832,0.6384358406066895,0.66978520154953,0.41947585344314575,0.2702702581882477,0.06666667014360428,0.5837823152542114,0.0003000000142492354
7,0.676369845867157,0.5285768508911133,0.4702233374118805,0.6015872955322266,0.6310478448867798,0.6847782731056213,0.46825116872787476,0.4792899489402771,0.5400000214576721,0.5986394882202148,0.0003000000142492354
8,0.6639086008071899,0.5557260513305664,0.5023640394210815,0.6746031641960144,0.6668220162391663,0.6789628863334656,0.395635724067688,0.2857142984867096,0.013333333656191826,0.5636190176010132,0.0003000000142492354
9,0.6668967604637146,0.5690420866012573,0.5086092948913574,0.6095238327980042,0.6588207483291626,0.6880261301994324,0.5755919218063354,0.49390244483947754,0.5400000214576721,0.6435102224349976,0.0003000000142492354
10,0.663414716720581,0.5642396807670593,0.5081967115402222,0.6396825313568115,0.6653228402137756,0.6674686670303345,0.44990259408950806,0.4285714328289032,0.11999999731779099,0.5785986185073853,0.0003000000142492354
11,0.6559595465660095,0.6020801067352295,0.5135135054588318,0.6634920835494995,0.684307336807251,0.6888350248336792,0.42363595962524414,0.4171428680419922,0.4866666793823242,0.5782721042633057,0.0003000000142492354
12,0.6567788124084473,0.5899215936660767,0.5236876010894775,0.6492063403129578,0.6803084015846252,0.6764134168624878,0.458493709564209,0.3870967626571655,0.23999999463558197,0.5800952315330505,0.0003000000142492354
13,0.6443376541137695,0.6420761346817017,0.5350318551063538,0.6666666865348816,0.703589677810669,0.6584657430648804,0.5096249580383301,0.5573770403862,0.2266666740179062,0.6068979501724243,0.0003000000142492354
14,0.632476270198822,0.6413290500640869,0.5640668272972107,0.6428571343421936,0.7211203575134277,0.6580949425697327,0.5414617657661438,0.5700934529304504,0.40666666626930237,0.65130615234375,0.0003000000142492354
15,0.6396322846412659,0.616928219795227,0.5326504707336426,0.6603174805641174,0.7046939134597778,0.7246030569076538,0.6628952026367188,0.41329479217529297,0.95333331823349,0.699550986289978,0.0003000000142492354
16,0.6360827684402466,0.6197075843811035,0.553108811378479,0.6777777671813965,0.7131959199905396,0.7029860019683838,0.4273294508457184,0.6666666865348816,0.013333333656191826,0.5534693598747253,0.0003000000142492354
17,0.6301608681678772,0.6370505690574646,0.5548128485679626,0.658730149269104,0.7194222211837769,0.6705138683319092,0.4204298257827759,0.4166666567325592,0.06666667014360428,0.5628843307495117,0.0003000000142492354
18,0.6311362981796265,0.6327380537986755,0.5379902124404907,0.696825385093689,0.7184117436408997,0.6156890988349915,0.6495715379714966,0.6883116960525513,0.35333332419395447,0.7188299894332886,0.0003000000142492354
19,0.6178873777389526,0.6665970087051392,0.5839311480522156,0.6460317373275757,0.7349998950958252,0.6603030562400818,0.4822562336921692,0.40860214829444885,0.25333333015441895,0.5871292352676392,0.0003000000142492354
20,0.6184136271476746,0.6718478798866272,0.5589404106140137,0.6698412895202637,0.7364941835403442,0.6499158143997192,0.5645571947097778,0.5106382966041565,0.47999998927116394,0.6502993106842041,0.0003000000142492354
21,0.6177040934562683,0.6634394526481628,0.5710306167602539,0.6507936716079712,0.7337427139282227,0.6759282946586609,0.6017249822616577,0.45136186480522156,0.7733333110809326,0.6755510568618774,0.0003000000142492354
22,0.6144662499427795,0.6788599491119385,0.5768688321113586,0.6492063403129578,0.739105761051178,0.6634895205497742,0.6476812362670898,0.4615384638309479,0.7599999904632568,0.6951972842216492,0.0003000000142492354
