split,precision,recall,f1,roc_auc,pr_auc,specificity,balanced_accuracy,fn,fp,tp,tn,threshold,best_epoch,epochs_executed,best_val_loss
train,0.5369406867845994,0.819047619047619,0.6486486486486487,0.7783991068394738,0.7236440319393175,0.54638124362895,0.6827144313382845,114,445,516,536,0.37,18,28,0.6156890988349915
validation,0.4801587301587302,0.8066666666666666,0.6019900497512438,0.7180408163265306,0.6508817876606217,0.46530612244897956,0.6359863945578231,29,131,121,114,0.37,18,28,0.6156890988349915
test,0.31921824104234525,0.5764705882352941,0.4109014675052411,0.47632579185520363,0.3886447636516329,0.3569230769230769,0.4666968325791855,72,209,98,116,0.37,18,28,0.6156890988349915
